Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,DRAM_Traffic,L1D_average_miss_latency,L2C_average_miss_latency,LLC_average_miss_latency,L1-MPKI,L2-MPKI,MPKI
tango-4,baseline,0.6326,1.012483994878361,0.03189127935369464,0.12058652291105121,0,0.9214024295745264,1.0329499792157406,68.72,100.4,77.58,12.63578,8.197175,5.83603
tango-4,triangel,0.6113,0.9783930857874519,0.0019817637579342888,0.04209074711381221,0,0.9918817048419832,1.0427481008006458,72.33,105.3,78.76,12.66192,8.450425,6.38413
tango-4,prophet,0.5999,0.9601472471190781,0.050792439772038116,0.11647091746309032,0,0.9184759658089788,1.17426125512829,71.96,112.4,79.89,12.605075,8.037135,6.51058
tango-4,kairos,0.6176,0.9884763124199745,0.016158224585326564,0.23873728875557831,0,0.90393160297858,1.0415926164671578,71.45,104.4,78.4,12.6497,8.33039,6.200785
tango-4,ptp,0.6483,1.0376120358514724,0.19656250202989062,0.08136975524389778,0,0.8794481508182017,1.0427151672881863,68.73,107.1,76.99,12.650915,6.80287,5.4743
yankee-0,baseline,0.5306,1.0149196633511857,0.029263527897248877,0.14413612649148144,0,0.922237216696861,1.0197203993789599,72.42,107.3,83.51,14.90364,13.9879,11.04479
yankee-0,triangel,0.5196,0.9938791124713081,0.012996219527640475,0.11334009835297791,0,0.9977043158861341,1.0292434014485414,75.2,109.7,84.03,14.924885,14.222305,11.461285
yankee-0,prophet,0.5203,0.9952180566182095,0.06631840286753773,0.16631467647460224,0,0.9195197460306935,1.1148830357838202,72.6,115.1,84.55,14.868445,13.453955,11.37715
yankee-0,kairos,0.5217,0.9978959449120123,0.011728312597699794,0.4353717257318952,0,0.8777455816319759,1.0197778417253471,75.08,108.7,83.82,14.919165,14.240575,11.35116
yankee-0,ptp,0.5849,1.1187834736036724,0.2632544679492629,0.1934801809276557,0,0.7929618436690015,1.038808104452279,70.86,109.3,80.37,14.911465,10.61619,8.253395
yankee-1,baseline,0.5685,1.0155412647374062,0.035682676300770114,0.16393151950798412,0,0.9223214356205048,1.0190095620424473,69.75,98.99,81.32,14.627165,13.494025,9.466705
yankee-1,triangel,0.5349,0.9555198285101824,0.003546685942496237,0.10177391991830415,0,0.9954685224146302,1.0859152284607758,75.15,106.9,83.27,14.66732,13.943715,10.86408
yankee-1,prophet,0.5324,0.9510539478385138,0.07280425087782799,0.1802462578928372,0,0.9171155669086604,1.2074738475368352,72.15,115.1,84.18,14.61225,12.97457,11.00597
yankee-1,kairos,0.5413,0.9669524830296535,0.01109027183993534,0.4533855765763131,0,0.8711411127354028,1.0796638815858337,74.26,105.9,82.91,14.68296,13.838155,10.649965
yankee-1,ptp,0.6222,1.1114683815648445,0.27675727283219276,0.20524863944165178,0,0.8127117683492088,1.0390759976110286,68.48,103.4,78.45,14.638715,10.120585,7.338
yankee-2,baseline,0.7192,1.014243407135806,0.039618759799470896,0.13201507150445266,0,0.9168108885042974,1.0154922973640184,63.99,89.37,78.67,12.41119,10.302605,6.136
yankee-2,triangel,0.677,0.9547313495980823,0.009175847019189718,0.04045975904001413,0,0.9937487596745386,1.1005534105076955,68.39,97.89,81.06,12.42252,10.629185,7.23125
yankee-2,prophet,0.6588,0.929065011987026,0.07135319856594473,0.13601300890999196,0,0.910478330520046,1.2623291904506495,67.42,109.5,82.95,12.37758,9.96217,7.83542
yankee-2,kairos,0.6805,0.9596671837540545,0.012974452860932807,0.41501111419838843,0,0.8452311211537925,1.0961395354619627,68.02,97.17,80.84,12.42153,10.588435,7.137575
yankee-2,ptp,0.7658,1.0799605133267522,0.29114286300223163,0.18801253548977437,0,0.8461078475277258,1.0348301406259435,63.27,97.65,76.75,12.423465,7.60435,5.1688
yankee-3,baseline,0.6077,1.0140163524111463,0.036475632418851364,0.15769413292704249,0,0.9215423846933604,1.0194583692908277,66.09,84.31,77.76,14.67798,13.882435,7.435935
yankee-3,triangel,0.5715,0.9536125479726346,0.016826792106454932,0.12323683627501662,0,0.9980738362760835,1.1122629332589886,70.3,93.28,80.3,14.693965,14.165535,8.850345
yankee-3,prophet,0.5461,0.9112297680627398,0.07231793503250804,0.17362956692320528,0,0.9184520181894895,1.3101676621261795,70.18,106.3,82.71,14.62907,13.36602,9.971625
yankee-3,kairos,0.5732,0.9564491907225096,0.01358067320355567,0.44463469779674003,0,0.8760664666709219,1.1063894915796504,70.2,92.44,80.13,14.700835,14.212305,8.772035
yankee-3,ptp,0.6473,1.0800934423494075,0.3045566778121145,0.20662381806668448,0,0.8573129741487112,1.0454325380652865,65.47,94.41,76.23,14.69794,10.01993,6.429085
yankee-4,baseline,0.5939,1.016082121471343,0.03605269829553196,0.1669373320616356,0,0.9084832753663684,1.0213500355929517,66.18,87.44,78.2,15.26796,13.973115,8.1376
yankee-4,triangel,0.5476,0.936869118905047,0.005827925129650293,0.07615523701232128,0,0.9978582792803818,1.1322657697017953,72.02,98.4,81.29,15.30893,14.411245,9.950705
yankee-4,prophet,0.5312,0.9088109495295124,0.07119892244092654,0.17309961569740556,0,0.9066810990073927,1.3136950206978917,71.13,111.1,83.4,15.27094,13.463645,10.87163
yankee-4,kairos,0.5542,0.9481608212147135,0.013945835755024326,0.47576576218664335,0,0.8682309715669492,1.1189580542969633,71.1,97.1,80.86,15.303065,14.29357,9.70796
yankee-4,ptp,0.6389,1.093071000855432,0.29630356536151176,0.20881252727944444,0,0.8473541766378827,1.0378007267034854,65.62,95.82,76.3,15.29189,10.20059,6.796415
Average,baseline,0.7053,1.0174,0.0426,0.1353,0.0000,0.8709,1.0169,74.7582,110.0289,79.5807,13.8986,9.2875,7.2805
Average,triangel,0.6808,0.9819,0.0089,0.0465,0.0000,0.9463,1.0436,78.6132,114.3811,80.9586,13.9391,9.6011,7.9871
Average,prophet,0.6817,0.9833,0.0679,0.1288,0.0000,0.8716,1.1297,76.6386,120.2036,81.2800,13.8765,9.0196,7.8956
Average,kairos,0.6864,0.9900,0.0187,0.2785,0.0000,0.8515,1.0406,77.8321,113.7432,80.7139,13.9284,9.5040,7.8298
Average,ptp,0.7318,1.0556,0.1734,0.1106,0.0000,0.8103,1.0271,74.3282,113.2886,78.4836,13.9056,7.8216,6.4364
