Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,DRAM_Traffic,L1D_average_miss_latency,L2C_average_miss_latency,LLC_average_miss_latency,L1-MPKI,L2-MPKI,MPKI
403.gcc-16B,baseline,2.226,1.0,0.0032184054553565738,0.0010009281333600247,0,0.8909090909090909,0.9998835075865684,9.414,119.3,92.39,0.916755,0.156405,0.15609
403.gcc-16B,triangel,2.226,1.0,0.00012746160219233955,0.0001235635734585444,0,0.8,1.015639106503189,9.414,119.1,92.08,0.91675,0.15689,0.1561
403.gcc-16B,prophet,2.226,1.0,0.0033777324580969983,0.0006279695257052809,0,0.8679245283018868,1.0042228499868946,9.414,119.3,92.37,0.9167,0.15638,0.15609
403.gcc-16B,kairos,2.226,1.0,6.373080109616978e-05,0.00029850746268656717,0,1.0,1.0,9.414,119,92.38,0.916685,0.1569,0.156105
403.gcc-16B,ptp,2.226,1.0,0.0032184054553565738,0.0009208719820513679,0,0.8909090909090909,0.9998835075865684,9.414,119.3,92.39,0.916755,0.156405,0.15609
403.gcc-17B,baseline,1.093,1.0632295719844358,0.2650698252343265,0.09171408271455143,0,0.8559587587182856,1.0332910747036763,37.3,161.5,92.48,18.288945,2.720785,2.444395
403.gcc-17B,triangel,1.05,1.0214007782101167,0.15125064152778153,0.013343194640414292,0,0.9969140250777853,1.0569901248254907,39.97,156.7,91.93,18.369295,3.142155,2.883355
403.gcc-17B,prophet,1.071,1.041828793774319,0.2534993652251425,0.07345186199909784,0,0.837674411288166,1.2023136172018285,38.67,161.2,91.54,18.293425,2.76362,2.45723
403.gcc-17B,kairos,1.042,1.0136186770428015,0.0826625428810675,0.04491608102819901,0,0.9481270325611274,1.0449926090169992,40.93,152.6,92.05,18.36154,3.396075,3.056135
403.gcc-17B,ptp,1.094,1.0642023346303502,0.26436617055184897,0.05737444900657739,0,0.8527843423623678,1.0340609687662534,37.27,161.2,92.41,18.28889,2.72339,2.44178
403.gcc-48B,baseline,2.964,1.0,0.0007454805243213021,0.00021789720481465663,0,1.0,0.9999616608518959,40.9,113.3,87.46,1.12412,0.241275,0.23817
403.gcc-48B,triangel,2.963,0.9996626180836707,4.141558468451678e-05,8.302579196227308e-06,0,1.0,1.0127094275965187,40.94,113.4,87.05,1.12409,0.241445,0.238555
403.gcc-48B,prophet,2.964,1.0,0.00043486363918742625,2.2462420370719787e-05,0,1.0,1.0089905302304183,40.92,113.4,87.38,1.124005,0.24135,0.23833
403.gcc-48B,kairos,2.964,1.0,0.0006833571472945269,0.0011593168948142863,0,1.0,1.0,40.89,113.3,87.42,1.124105,0.24129,0.238185
