Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,DRAM_Traffic,L1D_average_miss_latency,L2C_average_miss_latency,LLC_average_miss_latency,L1-MPKI,L2-MPKI,MPKI
Components-Shortcut-22000M,prophet,0.4654,0.9474755700325732,0.059910606963044524,0.071853501316583,0,0.9832381651698742,1.9302628009816625,75.57,123.2,118,96.007085,40.05892,32.09553
Components-Shortcut-22000M,kairos,0.4847,0.9867671009771987,-7.626991759563426e-06,0,0,0,1.0518921973145539,72.53,110.6,110.5,95.993275,42.612145,31.809485
Components-Shortcut-22000M,ptp,0.4941,1.005903908794788,0.0024196338011378063,0.005048121070645245,0,0.9901434121540601,0.9800369330092873,68.46,103.7,109.5,96.11827,42.508715,29.30588
MIS-15750M,baseline,0.5784,0.9998271391529818,0.0,0.0,0,0,1.0000209574807644,129.3,132.3,80.07,43.94385,20.90316,20.903155
MIS-15750M,triangel,0.5784,0.9998271391529818,0.0,0,0,0,1.0000269453324113,129.3,132.3,80.06,43.944865,20.90316,20.903155
MIS-15750M,prophet,0.5784,0.9998271391529818,0.0,0.0,0,0,1.0000276106492612,129.3,132.3,80.06,43.944865,20.90316,20.90316
MIS-15750M,kairos,0.5785,1.0,0.0,0.0,0,0,1.0,129.4,132.3,80.08,43.94254,20.90316,20.903155
MIS-15750M,ptp,0.5784,0.9998271391529818,0.0,0.0,0,0,1.0000209574807644,129.3,132.3,80.07,43.94385,20.90316,20.903155
MIS-21250M,baseline,0.8217,1.0003652300949597,0.000754886429908517,2.716956935779742e-06,0,0.8333333333333334,0.9992605354898543,37.88,119.7,92.71,58.19019,7.187705,7.18753
MIS-21250M,triangel,0.8214,1.0,0.0,0,0,0,0.9999993165762383,37.91,119.7,92.75,58.187185,7.193135,7.192975
MIS-21250M,prophet,0.824,1.0031653274896517,0.015324333548584866,0.0007411267281885443,0,0.9857451403887689,0.993255290895907,37.43,119.5,92.47,58.22804,7.082905,7.082365
MIS-21250M,kairos,0.8214,1.0,0.0,0,0,0,1.0,37.91,119.7,92.75,58.187185,7.193135,7.192975
MIS-21250M,ptp,0.8217,1.0003652300949597,0.000754886429908517,2.71695447516364e-06,0,0.8333333333333334,0.9992605354898543,37.88,119.7,92.71,58.19019,7.187705,7.18753
PageRank-51000M,baseline,0.8019,1.0009986268880289,0.008011631217590583,0.00633202688425977,0,0.9902153885253193,1.0057830336803668,39.46,136.4,104.5,98.68196,19.128105,18.905525
PageRank-51000M,triangel,0.8008,0.999625514916989,5.7824182332352654e-05,0.0,0,0,1.000797984720151,39.63,136.1,104.6,98.67711,19.281475,19.013915
PageRank-51000M,prophet,0.8001,0.9987517163899639,0.03880547167159598,0.019553957685874524,0,0.9797931118028452,1.1977265045684202,38.91,137.9,106,98.737555,18.53432,18.25293
PageRank-51000M,kairos,0.8013,1.0002496567220072,0.0007032250335665489,0.00978745324643329,0,0.9977116704805492,0.9994146179300861,39.58,136,104.5,98.680615,19.26903,18.98062
PageRank-51000M,ptp,0.8019,1.0009986268880289,0.007751033445195899,0.00400174718409776,0,0.9897111451942741,1.0059961195184453,39.48,136.4,104.6,98.6809,19.13313,18.910355
PageRankDelta-17000M,baseline,0.8713,1.009033005211349,0.00458858188173321,0.10022690171356996,0,0.2682979922147101,1.0008356125599178,122.8,147.1,86.25,37.240245,19.32541,18.63688
PageRankDelta-17000M,triangel,0.9581,1.1095541401273885,0.06077778484580722,0.14903638116417534,0,0.583025915019318,1.018202486410462,120.2,152.3,88.21,36.20129,18.234525,17.0757
PageRankDelta-17000M,prophet,0.8997,1.0419224088013896,0.012656007792116149,0.12220381945202673,0,0.3314822578538979,1.0076224791844612,122.4,147.7,86.53,37.09479,19.168785,18.410135
PageRankDelta-17000M,kairos,0.8631,0.9995367689635205,0.0008910867885051864,0.01245428739482904,0,0.8459958932238193,1.0014781692182562,123.6,147.6,86.5,37.344925,19.397195,19.037205
PageRankDelta-17000M,ptp,0.8716,1.0093804284887087,0.006056557226958518,0.023799823380773605,0,0.27212161745035496,0.9998820591587181,122.7,147.2,86.29,37.2491,19.29691,18.628435
PageRankDelta-24000M,baseline,0.7081,1.0217893217893217,0.013194950925815194,0.06693122051232925,0,0.9765238495286102,1.0013213243964545,97.12,133.8,81.42,50.96304,23.43437,22.473895
PageRankDelta-24000M,triangel,0.6924,0.9991341991341992,0.0008653462311329256,0,0,0,1.0019913215775724,98.22,133.9,81.52,51.61616,23.72717,22.812425
PageRankDelta-24000M,prophet,0.6852,0.9887445887445888,0.015243989738804399,0.026228338234387305,0,0.9649968010729895,1.091942085200389,98.59,136.1,80.71,51.58861,23.38571,22.839485
PageRankDelta-24000M,kairos,0.693,1.0,0.0011674804991805528,0.4769403824521935,0,0.9834905660377359,1.0009460863720707,98.15,133.9,81.54,51.62097,23.719995,22.789575
PageRankDelta-24000M,ptp,0.7082,1.0219336219336221,0.013322542121938443,0.016592749571833213,0,0.9769403737303248,1.001409582416513,97.12,133.9,81.42,50.96149,23.43134,22.474215
PageRankDelta-6000M,baseline,0.7273,1.0,0.0,0,0,0,1.0,147,137,80.05,41.279135,19.110645,19.110645
PageRankDelta-6000M,triangel,0.7273,1.0,0.0,0,0,0,1.0,147,137,80.05,41.279135,19.110645,19.110645
PageRankDelta-6000M,prophet,0.7273,1.0,0.0,0,0,0,1.0000005172719697,147,137,80.05,41.27978,19.110645,19.110645
PageRankDelta-6000M,kairos,0.7273,1.0,0.0,0,0,0,1.0,147,137,80.05,41.279135,19.110645,19.110645
PageRankDelta-6000M,ptp,0.7273,1.0,0.0,0,0,0,1.0,147,137,80.05,41.279135,19.110645,19.110645
Radii-24500M,baseline,0.5437,1.0243029389600602,0.046520106532996965,0.03896523156481251,0,0.9844715719998881,1.0018260666640737,40.48,112.2,94.24,95.92389,15.94011,13.93308
Radii-24500M,triangel,0.5198,0.979276563677468,0.0002936984924773408,0,0,0,1.06443934502742,43.75,118.4,95.44,95.506615,16.712915,15.521925
Radii-24500M,prophet,0.5236,0.9864355689525243,0.06803725963156092,0.009402119985128014,0,0.9973926877412133,1.1135101059209418,43,124,95.71,95.63792,15.58039,15.308805
Radii-24500M,kairos,0.5202,0.9800301431801054,0.001182570101074751,0.03204272363150868,0,0.9166666666666666,1.0633710603762332,43.7,118.3,95.38,95.504455,16.698055,15.504435
Radii-24500M,ptp,0.5437,1.0243029389600602,0.04652339643464386,0.011487399707742714,0,0.9843516200757947,1.00181601908392,40.51,112.2,94.22,95.92781,15.940055,13.932875
