Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 262144, 1, 1, 512, 0.628215, 0.613349, N/A, 0.0472877, 0.0698768, 77.4001, 0.292746, 2, 4, 2, 4, 1, 1, 56.9494, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 524288, 1, 1, 512, 0.890395, 1.5007, N/A, 0.0738841, 0.0774199, 150.138, 0.620531, 2, 8, 4, 8, 1, 1, 53.7337, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 786432, 1, 1, 512, 1.04034, 1.56197, N/A, 0.0928044, 0.0982394, 223.413, 0.849201, 2, 8, 4, 8, 1, 1, 58.8968, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1048576, 1, 1, 512, 1.19751, 1.61855, N/A, 0.111838, 0.119172, 296.785, 1.07861, 2, 8, 4, 8, 1, 1, 61.8267, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1310720, 1, 1, 512, 1.31476, 1.53225, N/A, 0.132213, 0.136698, 373.551, 1.52572, 2, 16, 4, 8, 1, 1, 54.6355, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1572864, 1, 1, 512, 1.43598, 1.56197, N/A, 0.149227, 0.154662, 446.826, 1.76321, 2, 16, 4, 8, 1, 1, 56.7321, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 1835008, 1, 1, 512, 1.55168, 1.59036, N/A, 0.165265, 0.17165, 520.1, 1.91438, 4, 8, 8, 8, 1, 1, 60.9606, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 2097152, 1, 1, 512, 1.59869, 0.613349, N/A, 0.181365, 0.203954, 619.201, 2.29539, 8, 8, 8, 4, 1, 1, 58.1052, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
