group_name,set,normalized_energy
Prophet,gap,10.240351787068297
Prophet,google,12.510465161881044
Prophet,ligra,10.711316333923204
Prophet,ml,7.925922461209337
Prophet,spec17,10.949370788080413
Prophet,Average,10.46748530643246
Triangel,gap,0.6218689654304016
Triangel,google,0.8790138171953794
Triangel,ligra,0.8712835338947043
Triangel,ml,1.4875040069438519
Triangel,spec17,1.7489007307234672
Triangel,Average,1.121714210837561
PRISM,gap,0.5479210714308105
PRISM,google,1.4225871098181133
PRISM,ligra,0.9575468737160252
PRISM,ml,1.505742591385495
PRISM,spec17,1.4935723335284719
PRISM,Average,1.1854739959757832
