Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,L2C_PrefetchHit,L2C_USEFUL,L2C_Relative_Useful,L2C_UsefulPF,LLC_DemandHit,DRAM_Traffic,MPKI,PCM_useful_prefetches,PCM_late_prefetches,PCM_accuracy,PCM_laterate,PCM_useful_coverage,MT_inserts,MT_lookups,MT_hits,MT_hitrate,MT_accuracy,MT_accuratepf,LLC_Traffic,MT_acc_find_rate,Fail_Entry_Init,Insert_PC,Init_L3Hit_rate,Init_UPF_rate,L2C_PF_Issue,L2C_PF_Fill
bc-0,prism,0.2955,1.0106019151846786,-0.011197595456764983,0.3740063608514956,0,0.9860445946932941,0.721088741301292,0.003561990789636031,0.15322883351776861,0.12878619081590867 ,0.3689931982785377,0.7635630209784857,28.99123,0,0,0,0,0,0.05672584396785349,0.05883633015386232,0.027696053428335334,0.47073,0,0,0,0.0,0,0,0.151012,0.141789,1467603,512510
bc-0,prism_ae,0.2919,0.9982900136798906,-0.014741181487947529,0.34808882024943655,0,0.9881019939639384,0.7358798267429457,0.002887612177117258,0.12421858215882513,0.11775623507133481 ,0.3570079118093159,0.7727198232031632,29.65084,0,0,0,0,0,0.04181594043411069,0.04256952800338154,0.02452194718494515,0.576045,1.00347,1072220,0,0.4746789491206075,71,0,0.134026,0.138679,1301188,445484
bc-0,prism_ae_0.1,0.2919,0.9982900136798906,-0.014741181487947529,0.34808882024943655,0,0.9881019939639384,0.7358798267429457,0.002887612177117258,0.12421858215882513,0.11775623507133481 ,0.3570079118093159,0.7727198232031632,29.65084,0,0,0,0,0,0.04181594043411069,0.04256952800338154,0.02452194718494515,0.576045,1.00347,1072220,0,0.4746789491206075,71,0,0.134026,0.138679,1301188,445484
bc-12,prism,0.2625,0.9351620947630923,-0.018521459960303414,0.3637682784839105,0,0.9822736851473379,0.6141793317564339,0.005757324809770194,0.21322823714810682,0.16033943979773904 ,0.23518611808079912,0.98994767830304,36.25201,0,0,0,0,0,0.05412559716595947,0.05607892199868146,0.03560252609891615,0.634865,0,0,0,0.0,0,0,0.141295,0.220919,1927411,864883
bc-12,prism_ae,0.2802,0.9982187388671179,-0.022242236746107775,0.36137671590205095,0,0.9790953538338343,0.7055562594777292,0.0032345270777954975,0.11979391984897943,0.14012068543906048 ,0.38497643380554236,0.7593718786375651,29.29728,0,0,0,0,0,0.04095018364047884,0.04166189435659213,0.023083996060338494,0.554079,1.00359,1028339,0,0.45983638262051635,49,0,0.153656,0.22375,1239089,490704
bc-12,prism_ae_0.1,0.2802,0.9982187388671179,-0.022242236746107775,0.36137671590205095,0,0.9790953538338343,0.7055562594777292,0.0032345270777954975,0.11979391984897943,0.14012068543906048 ,0.38497643380554236,0.7593718786375651,29.29728,0,0,0,0,0,0.04095018364047884,0.04166189435659213,0.023083996060338494,0.554079,1.00359,1028339,0,0.45983638262051635,49,0,0.153656,0.22375,1239089,490704
bfs-10,prism,0.6014,1.2600041902367485,0.4827271244650294,0.8447232460785251,0,0.9997166517635936,0.5710441480190555,0.11713449679222576,5.478996777138755,0.395224657909002 ,0.06554805438945235,1.124940506578641,5.0097,0,0,0,0,0,0.10903037390291252,0.27637349634670505,0.18358306600838706,0.664257,0,0,0,0.0,0,0,0,0.030888,3553002,1662831
bfs-10,prism_ae,0.6074,1.2725749004818774,0.503993765551056,0.8293234833736378,0,0.9997274235275377,0.2841134176999219,0.12145882553530261,5.681268387086705,0.6469563957854029 ,0.0468113711742843,1.1315262575452436,4.913155,0,0,0,0,0,0.10768521996470035,0.2811077275114844,0.18774748776277778,0.667884,0.920823,1673804,0,0.49668054508319187,0,0,4.94951e-05,0.0263523,2250654,1756217
bfs-10,prism_ae_0.1,0.6074,1.2725749004818774,0.503993765551056,0.8293234833736378,0,0.9997274235275377,0.2841134176999219,0.12145882553530261,5.681268387086705,0.6469563957854029 ,0.0468113711742843,1.1315262575452436,4.913155,0,0,0,0,0,0.10768521996470035,0.2811077275114844,0.18774748776277778,0.667884,0.920823,1673804,0,0.49668054508319187,0,0,4.94951e-05,0.0263523,2250654,1756217
bfs-14,prism,0.6782,1.2469203897775325,0.48476266053706946,0.8990524727594735,0,0.9965473267993341,0.6905803127868596,0.12916221916740225,4.037416420575708,0.2984912239250822 ,0.0703888737831018,1.1157707039838105,4.66405,0,0,0,0,0,0.09552197718646643,0.4055911340090112,0.3164696733009628,0.780268,0,0,0,0.0,0,0,0.207256,0.389073,4681079,1559533
bfs-14,prism_ae,0.691,1.2704541275969845,0.5118112311085166,0.9462672400775791,0,0.9993561726258693,0.5442416084309243,0.13372873439030597,4.180158808129959,0.46743505104539995 ,0.06513721830733163,1.0668193895205997,4.41304,0,0,0,0,0,0.07846336208111813,0.37108889295006775,0.28611075907037953,0.771003,0.990996,1935181,0,0.4820605550924996,113,0,0.246434,0.608637,3094892,1529793
bfs-14,prism_ae_0.1,0.691,1.2704541275969845,0.5118112311085166,0.9462672400775791,0,0.9993561726258693,0.5442416084309243,0.13372873439030597,4.180158808129959,0.46743505104539995 ,0.06513721830733163,1.0668193895205997,4.41304,0,0,0,0,0,0.07846336208111813,0.37108889295006775,0.28611075907037953,0.771003,0.990996,1935181,0,0.4820605550924996,113,0,0.246434,0.608637,3094892,1529793
cc-13,prism,0.4876,1.0620779786538879,-0.040901206799945626,0.4794786057909014,0,0.9965815179769424,0.9235625406440522,0.00321316813953291,0.22263014807517545,0.0748595232424597 ,0.6697926592341757,0.7039373748497165,7.571935,0,0,0,0,0,0.06739634707715803,0.07438066377681489,0.04292263696531836,0.577067,0,0,0,0.0,0,0,0.378424,0.0743148,1557731,244038
cc-13,prism_ae,0.4824,1.0507514702679155,-0.05142487813878165,0.47182322616189837,0,0.9965219567121231,0.9164259237572328,0.0032921671452531324,0.22810373662626865,0.07730386920494343 ,0.6606025871420014,0.7321368399128099,7.861335,0,0,0,0,0,0.04753927052422825,0.05375283026957536,0.04258735273036766,0.792281,1.00063,1232144,0,0.6316173666274344,26,0,0.371501,0.0772719,1545563,254110
cc-13,prism_ae_0.1,0.4824,1.0507514702679155,-0.05142487813878165,0.47182322616189837,0,0.9965219567121231,0.9164259237572328,0.0032921671452531324,0.22810373662626865,0.07730386920494343 ,0.6606025871420014,0.7321368399128099,7.861335,0,0,0,0,0,0.04753927052422825,0.05375283026957536,0.04258735273036766,0.792281,1.00063,1232144,0,0.6316173666274344,26,0,0.371501,0.0772719,1545563,254110
cc-14,prism,0.5311,1.0624124824964993,-0.0407201431880821,0.4711580673751522,0,0.9957631215773143,0.9530515464328763,0.003191129144938184,0.21699387219924643,0.07531285339985201 ,0.6554370909998415,0.7020386912284571,7.81453,0,0,0,0,0,0.0674267691905511,0.07410388318226685,0.04237169678230652,0.571788,0,0,0,0.0,0,0,0.370246,0.0677504,1504139,241454
cc-14,prism_ae,0.529,1.0582116423284658,-0.0432241452325774,0.4693618534197645,0,0.9954462579162006,0.9521069070237439,0.0031836640870431384,0.21648625506898805,0.07633822909574296 ,0.6511337386466132,0.7127227436452358,7.931075,0,0,0,0,0,0.06740079642308229,0.07337244835870138,0.04170471498690657,0.568397,0.9999,1180484,0,0.4532255661844993,26,0,0.36208,0.0713272,1480464,241888
cc-14,prism_ae_0.1,0.529,1.0582116423284658,-0.0432241452325774,0.4693618534197645,0,0.9954462579162006,0.9521069070237439,0.0031836640870431384,0.21648625506898805,0.07633822909574296 ,0.6511337386466132,0.7127227436452358,7.931075,0,0,0,0,0,0.06740079642308229,0.07337244835870138,0.04170471498690657,0.568397,0.9999,1180484,0,0.4532255661844993,26,0,0.36208,0.0713272,1480464,241888
cc-5,prism,0.5979,1.0680600214362272,-0.04099698446701771,0.478363149201065,0,0.9957835870578314,0.9303703135740392,0.0032198576988224097,0.21896812879651462,0.07545093671349225 ,0.6679153987245099,0.6970520233648205,7.318155,0,0,0,0,0,0.06691899313918875,0.07407770867371627,0.04267493998071013,0.576083,0,0,0,0.0,0,0,0.371924,0.0720436,1486794,235501
cc-5,prism_ae,0.5857,1.0462665237584852,-0.055699626559456115,0.4703938354063307,0,0.9954785754034502,0.9230173220719005,0.0032861033002565525,0.2234731960211746,0.07788129782208823 ,0.6490500031993958,0.749048435256116,7.84302,0,0,0,0,0,0.046752488780942875,0.0530017337231644,0.0421937408871038,0.796082,1.00053,1171790,0,0.6345720717671505,25,0,0.363677,0.0735163,1470032,244493
cc-5,prism_ae_0.1,0.5857,1.0462665237584852,-0.055699626559456115,0.4703938354063307,0,0.9954785754034502,0.9230173220719005,0.0032861033002565525,0.2234731960211746,0.07788129782208823 ,0.6490500031993958,0.749048435256116,7.84302,0,0,0,0,0,0.046752488780942875,0.0530017337231644,0.0421937408871038,0.796082,1.00053,1171790,0,0.6345720717671505,25,0,0.363677,0.0735163,1470032,244493
sssp-10,prism,0.578,1.0386343216531895,-0.0492727413119163,0.46968318996086805,0,0.9868187309031479,0.8784554326935077,0.004174991754297338,0.2346971540593524,0.11092529266405411 ,0.5513836163692981,0.7957561348500946,9.877935,0,0,0,0,0,0.08682637532063542,0.09188566865875027,0.037636404515138965,0.4096,0,0,0,0.0,0,3,0.346299,0.151102,1001575,239702
sssp-10,prism_ae,0.577,1.0368373764600178,-0.048697024190803,0.45471903114501455,0,0.9873631592101975,0.8943189994083365,0.0037113083766531,0.20863119380788211,0.10180014142201277 ,0.549473106114378,0.7983363996786815,9.91308,0,0,0,0,0,0.08523875109349272,0.09136693250954846,0.03647635055064609,0.399229,1.00121,789103,0,0.32455343739075,331,4,0.348578,0.155956,970146,219971
sssp-10,prism_ae_0.1,0.5767,1.0362982929020665,-0.04868415493419439,0.45477943349809696,0,0.9873713891471938,0.8944137526651353,0.003710819853765559,0.20860373149462583,0.1017599940643095 ,0.5488628509646959,0.8003038273172501,9.92588,16,0,0.941176,0,0,0.08523721036746278,0.09136670703744652,0.03647349457068815,0.399199,1.0014,789119,0,0.32456081903671385,331,4,0.348578,0.155956,970401,219911
sssp-14,prism,0.5722,1.0405528277868703,-0.04876288123054421,0.4723692235053412,0,0.9829578110032902,0.8943372115053726,0.0044362751363486675,0.24226156505458682,0.11407258329563426 ,0.555122051582951,0.7915896129424392,9.816805,0,0,0,0,0,0.08810518583567786,0.09362661141043242,0.0388962862938575,0.415441,0,0,0,0.0,0,1,0.330546,0.106218,1034508,254155
sssp-14,prism_ae,0.5707,1.0378250591016547,-0.05022744581437952,0.45612911782596166,0,0.9852006336856037,0.9220553615328726,0.003693782019569248,0.20171458837151057,0.10452545053981803 ,0.5533463298662704,0.79462154228148,9.871455,0,0,0,0,0,0.0846254189704717,0.08884339338639416,0.035340694983481774,0.397786,1.0021,769235,0,0.3254896932953528,261,0,0.33185,0.114001,940039,218653
sssp-14,prism_ae_0.1,0.5704,1.0372795053646118,-0.050219454638574856,0.4561631309436723,0,0.9852363388525839,0.9219995894547299,0.0036953233196445837,0.20179875758036106,0.10454971373507918 ,0.5527431125895674,0.7966360391583793,9.884005,0,0,0,0,0,0.08462526859973264,0.08884267912538363,0.03533937923951502,0.397775,1.00194,769135,0,0.3254499963398591,261,0,0.33185,0.114001,940213,218720
Average,prism,0.4897,1.0760,0.0797,0.5392,0.0000,0.9914,0.7974,0.0304,1.2243,0.1593,0.4266,0.8538,13.0352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0769,0.1339,0.0853,0.5667,0.0000,0.0000,0.0000,0.0000,0.0000,0.4444,0.2552,0.1393,2023760.2222,646067.4444
Average,prism_ae,0.4920,1.0811,0.0811,0.5342,0.0000,0.9918,0.7642,0.0309,1.2426,0.2011,0.4353,0.8353,12.4105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0667,0.1219,0.0800,0.6136,0.9915,1205811.1111,0.0000,0.4759,100.2222,0.4444,0.2569,0.1655,1588007.4444,600145.8889
