Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,L2C_UsefulPF,LLC_DemandHit,DRAM_Traffic,L1D_average_miss_latency,L2C_average_miss_latency,LLC_average_miss_latency,L1-MPKI,L2-MPKI,MPKI,PCM_useful_prefetches,PCM_late_prefetches,PCM_accuracy,PCM_laterate,MT_lookups,MT_hitrate,MT_accuracy,MT_accuratepf,MT_acc_find_rate,CT_hitrate,CT_accuracy,CT_useful_prefetches,Unmod_PC,Insert_PC,Init_L3Hit_rate,Init_UPF_rate,Init_NormUPF_rate,L2C_PF_Issue,L2C_PF_Fill
605.mcf_s-1554B,baseline.7way,0.5409,0.7953242170269078,-0.027977935460736604,0.9924316392559625,0,0.5267793381226358,0.34507275302711266 ,0.6462985258584486,1.5106876228994512,41.49,54.61,94.73,150.35988,75.080995,13.942855,0,0,0,0,32857335,0.988665,0.917729,29812327,0.9073263854174418,0,0,0,0,0,0,0,0,25126171,16584701
605.mcf_s-1554B,baseline.8way,0.4972,0.731068960446993,-0.04088403561701922,0.9919687900776056,0,0.5199597435566119,0.33813320551711756 ,0.5728642826611144,1.7419137823649982,45.91,61.65,97.16,151.11931,76.023625,16.65231,0,0,0,0,32912699,0.988686,0.913829,29736290,0.9034898657202194,0,0,0,0,0,0,0,0,25181990,16508596
605.mcf_s-1644B,no,0.2624,1.0115651503469545,-0.051997321152577824,0,0,0,0.0 ,0.6687561444974103,0.9945560274631583,117,137.1,77.27,29.32722,53.73778,46.861395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605.mcf_s-1644B,baseline.1way,0.2617,1.0088666152659984,-0.00037175761873094594,0.5657195796888304,0,0.9792323183950263,0.05346578848824255 ,0.5709720628780461,0.9949188416235281,116.5,140.2,77.26,29.27343,51.10066,46.71939,0,0,0,0,6957006,0.766182,0.529557,2822713,0.40573674940053234,0,0,0,0,0,0,0,0,4283412,413408
605.mcf_s-1644B,baseline.2way,0.261,1.0061680801850423,-0.0001573950107739234,0.5655281147698825,0,0.9785948081023907,0.05359200760824973 ,0.5690278718141175,0.9961471293749021,116.7,140.4,77.28,29.25141,51.08971,46.732005,0,0,0,0,6956182,0.76889,0.528765,2828118,0.40656181796278473,0,0,0,0,0,0,0,0,4290080,415440
605.mcf_s-1644B,baseline.3way,0.2603,1.0034695451040863,2.3785440060984692e-05,0.5638794971093669,0,0.9788237003607022,0.053362693341994394 ,0.5664773689151545,0.9976672014721512,116.8,140.6,77.27,29.219185,51.080455,46.74946,0,0,0,0,6955125,0.769555,0.528744,2830025,0.4068977911971388,0,0,0,0,0,0,0,0,4292006,414961
605.mcf_s-1644B,baseline.4way,0.2594,1.0,0.0,0.5643488578628281,0,0.9783651693299728,0.053440196643896945 ,0.5594905312417849,1.0,117.1,141,77.28,29.175495,51.08167,46.80538,0,0,0,0,6954122,0.769867,0.528571,2829839,0.40692973174758795,0,0,0,0,0,0,0,0,4292836,415493
605.mcf_s-1644B,baseline.5way,0.2582,0.995373939861218,-3.8565692938386705e-05,0.56430677613321,0,0.9768747385227496,0.05329910635154924 ,0.5446785258290255,1.0033685790161972,117.5,141.5,77.33,29.13055,51.08364,46.917475,0,0,0,0,6953556,0.770041,0.52854,2830078,0.4069972255922006,0,0,0,0,0,0,0,0,4293299,415104
605.mcf_s-1644B,baseline.6way,0.2568,0.9899768696993059,-2.6428266734427437e-06,0.5638627482159292,0,0.9746665071484117,0.053122420107009155 ,0.5265008376643883,1.0076412693442334,118,142.1,77.35,29.089915,51.081805,47.05341,0,0,0,0,6951149,0.770441,0.528514,2830431,0.4071889409937839,0,0,0,0,0,0,0,0,4294025,415062
605.mcf_s-1644B,baseline.7way,0.2553,0.9841942945258288,-5.638030236677853e-05,0.5637812470623965,0,0.972227566363547,0.05295549926343641 ,0.49260611397424386,1.0136261983619708,118.6,142.9,77.41,29.04214,51.08455,47.30776,0,0,0,0,6949361,0.770685,0.528591,2831011,0.40737716748345637,0,0,0,0,0,0,0,0,4294266,414879
605.mcf_s-1644B,baseline.8way,0.2537,0.9780262143407863,-1.8597669183485973e-05,0.5638261213218019,0,0.9699413615071631,0.05284037105585512 ,0.45244262567199983,1.0203024615294207,119.3,143.8,77.47,28.986175,51.08262,47.6072,0,0,0,0,6949138,0.770813,0.52856,2831227,0.4074213233353547,0,0,0,0,0,0,0,0,4294879,414979
605.mcf_s-472B,no,0.5873,0.9261946065289387,-0.46494667389801214,0,0,0,0.0 ,0.6432087264771572,0.7566399175511808,73.47,65.53,85.74,51.201395,38.517755,14.91963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605.mcf_s-472B,baseline.1way,0.5812,0.9165746727645483,-0.32176888548789145,0.9950744585356872,0,0.7155182383827169,0.49326749760659616 ,0.5379843235051028,0.8383743338742234,75.19,75.27,88,51.76067,34.75319,16.207955,0,0,0,0,10144922,0.181727,0.908253,1674463,0.16505430007248947,0,0,0,0,0,0,0,0,1630523,1129622
605.mcf_s-472B,baseline.2way,0.6455,1.0179782368711559,0.0010175735387522279,0.9927195737539452,0,0.5761713059567104,0.417667629618367 ,0.4038703671421357,0.9027218832791455,61.53,76.76,82.06,51.808375,26.266185,10.43346,0,0,0,0,10233057,0.79825,0.919735,7512890,0.7341784571316274,0,0,0,0,0,0,0,0,6254727,4567315
605.mcf_s-472B,baseline.3way,0.6442,1.0159280870525154,0.008213992045012844,0.9919290353046313,0,0.5508848882548701,0.3985528189528988 ,0.35367541314979845,0.9526748475860961,62.5,79.22,81.79,51.920835,26.07697,10.125465,0,0,0,0,10256869,0.877797,0.917875,8264042,0.8057080576928496,0,0,0,0,0,0,0,0,6750503,4923575
605.mcf_s-472B,baseline.4way,0.6341,1.0,0.0,0.9915091540481186,0,0.5420741459308637,0.3918843572899789 ,0.31406156149744796,1.0,64.94,82.86,82.97,52.00341,26.29294,10.575205,0,0,0,0,10259521,0.884522,0.915532,8308246,0.8098083721452493,0,0,0,0,0,0,0,0,6790294,4950979
605.mcf_s-472B,baseline.5way,0.6237,0.9835988014508753,-0.00953963307260428,0.9911063149186358,0,0.533901492053949,0.38507985543224194 ,0.27899353553834755,1.047991292727383,67.41,86.4,84.21,52.095145,26.543765,11.047425,0,0,0,0,10259667,0.885259,0.913705,8298690,0.8088654339365985,0,0,0,0,0,0,0,0,6798473,4947443
605.mcf_s-472B,baseline.6way,0.6135,0.9675130105661568,-0.02050550451946416,0.9908455799135422,0,0.5255542237077692,0.37860724081861313 ,0.24482783046585346,1.0951621210847249,69.86,89.79,85.36,52.244125,26.83209,11.523095,0,0,0,0,10266888,0.886302,0.91186,8297529,0.808183453447627,0,0,0,0,0,0,0,0,6811716,4952471
605.mcf_s-472B,baseline.7way,0.6039,0.952373442674657,-0.028468478610608017,0.9906200665042804,0,0.5189025040979283,0.3733461395767979 ,0.21162602837868377,1.1415323715932557,72.24,93.16,86.46,52.358105,27.04146,11.97906,0,0,0,0,10266382,0.886279,0.910373,8283371,0.8068442222391491,0,0,0,0,0,0,0,0,6811261,4947050
605.mcf_s-472B,baseline.8way,0.5952,0.9386532092729852,-0.03677831387437084,0.9903566549708929,0,0.511799880663306,0.3672418163064868 ,0.18037312885236279,1.1888965992769447,74.46,96.21,87.43,52.52124,27.25995,12.417715,0,0,0,0,10270015,0.886611,0.90829,8270449,0.8053005764840655,0,0,0,0,0,0,0,0,6817704,4939676
605.mcf_s-484B,no,0.5615,0.8905630452022205,-0.437886706502849,0,0,0,0.0 ,0.19739184355487016,0.9537865691047926,119.5,114.7,87.6,24.58181,22.80241,18.769515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605.mcf_s-484B,baseline.1way,0.5605,0.8889770023790643,-0.4186623643926075,0.9870706515419014,0,0.6676591551709365,0.2779112741798144 ,0.1856023068994397,0.9630185410193783,118.8,115.6,87.48,24.585255,22.497545,18.6334,0,0,0,0,5275400,0.0474817,0.763431,191228,0.03624900481480078,0,0,0,0,0,0,0,0,224309,94591
605.mcf_s-484B,baseline.2way,0.5968,0.9465503568596353,-0.15724719200316806,0.9926231580468072,0,0.6394498847220911,0.4688786035942436 ,0.12409774887379717,0.9745885730080206,98.95,115.9,82.61,24.492985,18.35195,14.085845,0,0,0,0,5286422,0.424182,0.903221,2025386,0.38312983715639803,0,0,0,0,0,0,0,0,1949061,1439776
605.mcf_s-484B,baseline.3way,0.6239,0.9895321173671691,-0.0236576728371551,0.9918800243923059,0,0.6175441921367286,0.45866624910130843 ,0.05862729863819059,0.9877704760353803,88.25,115.5,78.57,24.495955,16.23345,11.401765,0,0,0,0,5305553,0.666443,0.906351,3204721,0.6040314741931708,0,0,0,0,0,0,0,0,2969595,2223652
605.mcf_s-484B,baseline.4way,0.6305,1.0,0.0,0.9909664013596555,0,0.6019249955397561,0.44547966067369116 ,0.039660551224733005,1.0,86.01,114.9,77.26,24.509395,15.85828,10.671475,0,0,0,0,5311780,0.736323,0.904221,3536578,0.6657990353516147,0,0,0,0,0,0,0,0,3249026,2426497
605.mcf_s-484B,baseline.5way,0.6316,1.001744647105472,0.0039610222546202995,0.9906056801590645,0,0.5950550180859941,0.43910109515148316 ,0.03258453216184125,1.012265696054022,85.7,115,76.94,24.52074,15.795465,10.48115,0,0,0,0,5313434,0.75759,0.902263,3631973,0.6835453305715287,0,0,0,0,0,0,0,0,3333968,2483522
605.mcf_s-484B,baseline.6way,0.6302,0.9995241871530531,0.0016537102384369554,0.990494108804633,0,0.5909436195525721,0.435268704197724 ,0.029621089345471818,1.0243258064353657,86.06,115.2,77.1,24.530885,15.832055,10.477205,0,0,0,0,5312977,0.760961,0.900919,3642387,0.6855642326326653,0,0,0,0,0,0,0,0,3349315,2490666
605.mcf_s-484B,baseline.7way,0.629,0.9976209357652658,-0.000620496043707136,0.9903268741656263,0,0.5871533465682691,0.4321802202396675 ,0.025851424887888302,1.0367835045504337,86.42,115.5,77.24,24.54,15.86812,10.487375,0,0,0,0,5312688,0.763006,0.900521,3650364,0.6871030258129218,0,0,0,0,0,0,0,0,3358069,2495884
605.mcf_s-484B,baseline.8way,0.6277,0.9955590800951627,-0.002667376285448359,0.9902184186076315,0,0.5841754579665658,0.42990159925760446 ,0.023095946707722893,1.0485229501223516,86.78,115.9,77.37,24.54842,15.90058,10.50613,0,0,0,0,5311922,0.763392,0.90039,3651153,0.6873506425734414,0,0,0,0,0,0,0,0,3359934,2497040
607.cactuBSSN_s-2421B,no,1.348,1.0007423904974018,1.5691689681144866e-05,0,0,0,0.0 ,3.2715233521336876e-06,0.9997722531658798,18.82,137.9,102.4,126.82734,7.64724,7.647215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607.cactuBSSN_s-2421B,baseline.1way,1.347,1.0,1.63455100845259e-05,0,0,0,0.0 ,1.3086101970832387e-06,0.9998671003511618,18.85,138,102.5,126.79442,7.647235,7.647225,0,0,0,0,26316332,0.469911,0.213041,2634529,0.10011003813145389,0,0,0,0,0,0,0,0,9994321,0
607.cactuBSSN_s-2421B,baseline.2way,1.347,1.0,1.1114946857477612e-05,0,0,0,0.0 ,2.617206694553004e-06,1.0000499793551187,18.86,138.2,102.6,126.79336,7.647275,7.647255,0,0,0,0,26315959,0.469946,0.213035,2634617,0.10011480106045156,0,0,0,0,0,0,0,0,9994105,0
607.cactuBSSN_s-2421B,baseline.3way,1.347,1.0,0.0,0,0,0,0.0 ,3.925766375025845e-06,1.0000005679472173,18.85,138,102.5,126.798105,7.64736,7.64733,0,0,0,0,26316504,0.469879,0.213043,2634396,0.10010432996723273,0,0,0,0,0,0,0,0,9994689,0
607.cactuBSSN_s-2421B,baseline.4way,1.347,1.0,0.0,0,0,0,0.0 ,3.925766375025845e-06,1.0,18.85,138,102.5,126.798115,7.64736,7.64733,0,0,0,0,26316504,0.469879,0.213043,2634396,0.10010432996723273,0,0,0,0,0,0,0,0,9994689,0
607.cactuBSSN_s-2421B,baseline.5way,1.347,1.0,7.845844840572433e-06,0,0,0,0.0 ,3.925797198551119e-06,1.0000647459827674,18.85,138.1,102.5,126.80172,7.6473,7.64727,0,0,0,0,26316588,0.469915,0.213037,2634537,0.10010936828132887,0,0,0,0,0,0,0,0,9995106,0
607.cactuBSSN_s-2421B,baseline.6way,1.347,1.0,3.5960122185956985e-05,1.0,0,1.0,3.0014022551335983e-06 ,3.925907653491539e-06,1.0001482342237042,18.85,138,102.5,126.799465,7.647085,7.647055,0,0,0,0,26316608,0.469923,0.213047,2634702,0.10011556200555938,0,0,0,0,0,0,0,0,9995328,30
607.cactuBSSN_s-2421B,baseline.7way,1.349,1.0014847809948033,0.003169067495187882,0.9997924449979244,0,1.0,0.00048017113510582306 ,3.93825602208574e-06,0.9999341181227981,18.82,138,102.4,126.795805,7.623125,7.623095,0,0,0,0,26316249,0.471329,0.212795,2639429,0.10029655062163305,0,0,0,0,0,0,0,0,10031840,4818
607.cactuBSSN_s-2421B,baseline.8way,1.352,1.0037119524870082,0.0098949179847686,0.9996701194167711,0,1.0,0.0014983594882042263 ,4.6258665239256425e-06,1.0003100991806226,18.75,137.8,102.2,126.7988,7.57169,7.571655,0,0,0,0,26316810,0.474388,0.212246,2649760,0.10068697535909557,0,0,0,0,0,0,0,0,10112393,15157
620.omnetpp_s-874B,no,0.5777,0.9843244164252855,-0.15037645609096378,0,0,0,0.0 ,0.17728746273907275,0.9167846617830187,64.2,104,79.2,21.849525,9.550155,7.85855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620.omnetpp_s-874B,baseline.1way,0.5839,0.9948883966604192,-0.08295705792683845,0.623737850469963,0,0.9570852059066312,0.06078807621417703 ,0.15927889395951034,0.9364784423465466,62.97,105.5,79.02,21.802525,8.990455,7.52541,0,0,0,0,4237389,0.504255,0.653311,1395944,0.3294349421306375,0,0,0,0,0,0,0,0,1716636,174801
620.omnetpp_s-874B,baseline.2way,0.5868,0.999829613222014,-0.04272946776980558,0.6056485012372095,0,0.952279032467814,0.09360740443650467 ,0.14995465759295848,0.960755801775652,62.26,106.6,78.83,21.759625,8.656495,7.30181,0,0,0,0,4237441,0.550268,0.638995,1489961,0.35161811102502666,0,0,0,0,0,0,0,0,1877469,304718
620.omnetpp_s-874B,baseline.3way,0.5876,1.0011927074459022,-0.01829972301070917,0.6006869302481729,0,0.9470731371773486,0.11155917381805806 ,0.14272032391955586,0.9818493876511167,61.98,107.6,78.7,21.725495,8.453685,7.17479,0,0,0,0,4237359,0.577019,0.632155,1545642,0.3647654116632553,0,0,0,0,0,0,0,0,1974674,387230
