Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,L2C_UsefulPF,LLC_DemandHit,DRAM_Traffic,L1D_average_miss_latency,L2C_average_miss_latency,LLC_average_miss_latency,L1-MPKI,L2-MPKI,MPKI,PCM_useful_prefetches,PCM_late_prefetches,PCM_coverage,PCM_accuracy,PCM_laterate,MT_hitrate,CT_hitrate,CT_accuracy,CT_accuratepf
BFSCC-17000M,latetpl2d1,0.9922,1.0970809376382131,0.05951752946352042,0.9644938930620773,0,0.541716469287574,0.15598045837331326 ,0.018445242486763696,1.0061674490153367,117.2,149.4,84.86,34.1643,17.177475,15.744065,0,0,0,0,0,0.586835,0,0,0,462343
BFSCC-17000M,latetpl2d2,1.013,1.120079610791685,0.08803700723834469,0.9808217464345712,0,0.7101013285131986,0.12484266927728617 ,0.018844515717414172,1.0061837700174945,117.6,155.5,87.33,33.69304,16.65658,15.557205,0,0,0,0,0,0.740459,0,0,0,559540
BFSCC-17000M,latetpl2d3,1.019,1.1267138434321096,0.10319999934298903,0.9860953317916769,0,0.8030370812207973,0.10554801768179077 ,0.017657790074355872,1.006456588453561,118.9,160.2,89.78,33.635445,16.379635,15.537025,0,0,0,0,0,0.810343,0,0,0,571247
BFSCC-17000M,latetpl2d4,1.023,1.1311366651923926,0.11243757369130941,0.984743613474889,0,0.8623799702758443,0.09143560470737946 ,0.018296261289099624,1.0074915117903778,120.2,163.9,91.9,33.521145,16.210915,15.52561,0,0,0,0,0,0.850638,0,0,0,578053
BFSCC-17000M,latetpl2d5,1.024,1.1322423706324636,0.12073233728644063,0.9814391942319938,0,0.9126895673634549,0.08237734176806687 ,0.018038504837944624,1.0080715086670535,121,166.7,93.28,33.35188,16.059415,15.526155,0,0,0,0,0,0.876766,0,0,0,584188
BFSCC-17000M,latetpl3d1,1.001,1.1068111455108358,0.07012661422806549,0.9631175215675651,0,0.6172537956737282,0.1919818290471507 ,0.01896929197676804,1.0061485510128385,116.9,151.1,85.58,33.91365,16.983705,15.697555,0,0,0,0,0,0.587637,0,0,0,502027
BFSCC-17000M,latetpl3d2,1.015,1.1222910216718265,0.09802549038341245,0.9824533768488644,0,0.7853952926976463,0.13929629918371678 ,0.0183326092220297,1.0074035501787493,118.5,158.6,88.92,33.626935,16.474145,15.583385,0,0,0,0,0,0.740806,0,0,0,565009
BFSCC-17000M,latetpl3d3,1.023,1.1311366651923926,0.11411213042105918,0.9828091980869759,0,0.8674416301818465,0.11271342016804792 ,0.01904749564864363,1.005508939528282,119.9,163.8,91.86,33.497605,16.18033,15.509765,0,0,0,0,0,0.810423,0,0,0,575424
BFSCC-17000M,latetpl3d4,1.025,1.1333480760725343,0.12309319673345093,0.9799177719289192,0,0.9317915300297032,0.09612115878095114 ,0.017964795492055163,1.0077571146254904,121.5,167.9,94,33.30424,16.016295,15.53932,0,0,0,0,0,0.850692,0,0,0,581310
BFSCC-17000M,latetpl3d5,1.027,1.1355594869526757,0.12932932593137467,0.9761271363259014,0,0.9617426844645419,0.08385869687196133 ,0.01768244069391193,1.0077564274253996,122,169.8,95.03,33.17508,15.902395,15.509495,0,0,0,0,0,0.876111,0,0,0,589037
CF-184750M,latetpl2d1,0.8304,0.9852871381110584,0.014657262219323024,0.12794739560987997,0,0.9792308218709368,0.06156331541438378 ,0.012679919211363218,1.0993962822176127,112.6,124.5,92.64,31.26788,9.395445,9.273315,0,0,0,0,0,0.225577,0,0,0,228422
CF-184750M,latetpl2d2,0.8287,0.9832700522069293,0.021942370405250856,0.11110586977373146,0,0.9946457212944617,0.04615670886214502 ,0.01223827312947293,1.1528808486271616,112.4,124.8,92.88,31.25837,9.32598,9.210725,0,0,0,0,0,0.362832,0,0,0,381582
CF-184750M,latetpl2d3,0.8274,0.9817275747508306,0.026284175327116722,0.10104232708236076,0,0.996933319882982,0.03641499519875956 ,0.011958978093069448,1.1919942682969722,112.3,125,93.03,31.249515,9.28458,9.172795,0,0,0,0,0,0.457846,0,0,0,490537
CF-184750M,latetpl2d4,0.8263,0.980422401518747,0.02904289944474188,0.09390683026094439,0,0.9976152026138881,0.029665221384957717 ,0.01174975479711892,1.2196561373364099,112.3,125.1,93.18,31.236195,9.258275,9.148865,0,0,0,0,0,0.526831,0,0,0,567094
CF-184750M,latetpl2d5,0.8256,0.9795918367346939,0.030892885889710814,0.08748147419398859,0,0.9980954453936987,0.024675546562952778 ,0.011617827060500362,1.243224723146177,112.3,125.2,93.26,31.238875,9.240635,9.13276,0,0,0,0,0,0.58095,0,0,0,630202
CF-184750M,latetpl3d1,0.8298,0.9845752254390128,0.014369381675590613,0.12313610840004026,0,0.9911498133996801,0.059928264882672895 ,0.012719027300894067,1.1000250149477155,112.7,124.5,92.62,31.2854,9.39819,9.277425,0,0,0,0,0,0.225703,0,0,0,228487
CF-184750M,latetpl3d2,0.8279,0.9823208353108686,0.02130420898134859,0.10733081080230647,0,0.9974836313886446,0.04476810038475413 ,0.012282525411105336,1.1534127620493604,112.5,124.8,92.9,31.261145,9.332065,9.216935,0,0,0,0,0,0.362327,0,0,0,381363
CF-184750M,latetpl3d3,0.8266,0.9807783578547699,0.02534030469192849,0.09735872423549254,0,0.998409942046572,0.035242118323006597 ,0.01201416089183489,1.1927328613029824,112.4,125,93.07,31.258475,9.29358,9.18155,0,0,0,0,0,0.457203,0,0,0,490937
CF-184750M,latetpl3d4,0.8254,0.9793545325106787,0.028194988990797785,0.09048356197487453,0,0.9989162199299414,0.028816762462000566 ,0.011789775180011397,1.2222422008095675,112.4,125.1,93.17,31.249915,9.26636,9.156835,0,0,0,0,0,0.526896,0,0,0,571054
CF-184750M,latetpl3d5,0.8245,0.9782866635026104,0.02988923678096066,0.0844839384117462,0,0.9989150766928545,0.023999076025236734 ,0.011678485694192865,1.245317600920297,112.4,125.2,93.26,31.247605,9.250205,9.14189,0,0,0,0,0,0.580338,0,0,0,632783
Components-Shortcut-17000M,latetpl2d1,0.99,1.0922330097087378,0.05540910709983211,0.9646801019605646,0,0.5396518720865562,0.15611812164842004 ,0.016992751448709997,1.0110664903566318,117.5,149.5,84.87,34.191575,17.21072,15.79224,0,0,0,0,0,0.587161,0,0,0,464101
Components-Shortcut-17000M,latetpl2d2,1.014,1.118711385701677,0.0872568438811896,0.9801677548286817,0,0.7103948231416676,0.12463583601217636 ,0.01791162677585544,1.0082956499613425,117.6,155.6,87.35,33.68881,16.630445,15.55277,0,0,0,0,0,0.740647,0,0,0,558434
Components-Shortcut-17000M,latetpl2d3,1.02,1.1253309796999118,0.1028400206582881,0.9852572662243672,0,0.8047118584379297,0.10573411786810823 ,0.017923697199141338,1.0074958161945506,118.6,160.1,89.68,33.62135,16.346515,15.509,0,0,0,0,0,0.810325,0,0,0,570654
Components-Shortcut-17000M,latetpl2d4,1.021,1.1264342453662841,0.1096829413801866,0.9840515485977374,0,0.862330556773345,0.09160119918469747 ,0.01722883674932884,1.01109851125216,120.3,164,91.87,33.517345,16.221835,15.55932,0,0,0,0,0,0.850896,0,0,0,579492
Components-Shortcut-17000M,latetpl2d5,1.027,1.1330538393645189,0.12149148010267674,0.9811026680001512,0,0.9130867328619445,0.08209669525033969 ,0.01829923903467699,1.007808622469682,120.8,166.8,93.3,33.31414,16.00668,15.475405,0,0,0,0,0,0.876748,0,0,0,581934
Components-Shortcut-17000M,latetpl3d1,1,1.1032656663724625,0.06666112339595034,0.9620430062638781,0,0.617408032664599,0.1923241305976586 ,0.018698936373051426,1.0096343299808375,117.1,151.2,85.64,33.926545,17.005705,15.727825,0,0,0,0,0,0.587785,0,0,0,503043
Components-Shortcut-17000M,latetpl3d2,1.019,1.1242277140335393,0.09877065622995024,0.981154883742365,0,0.785219295234723,0.1389856609633052 ,0.01894046703630256,1.0075001200783582,118.1,158.6,88.83,33.607185,16.42066,15.5304,0,0,0,0,0,0.741038,0,0,0,564178
Components-Shortcut-17000M,latetpl3d3,1.023,1.128640776699029,0.11152758819974874,0.9813880505258612,0,0.8669509541910227,0.1122988321853792 ,0.018553428948535303,1.0085495791059869,120,163.9,91.85,33.517445,16.188225,15.529155,0,0,0,0,0,0.810836,0,0,0,574201
Components-Shortcut-17000M,latetpl3d4,1.025,1.130847308031774,0.12163225722532407,0.9777490315368463,0,0.9308612309540714,0.09576852795999868 ,0.017391386933536635,1.0097913356621362,121.3,167.7,93.83,33.28867,16.004115,15.53546,0,0,0,0,0,0.850802,0,0,0,580559
Components-Shortcut-17000M,latetpl3d5,1.028,1.1341571050308914,0.12869910413061483,0.9753412931454899,0,0.9616913030936126,0.08365031327447059 ,0.017786095923377643,1.009555310674131,121.9,169.8,94.89,33.176305,15.875355,15.49136,0,0,0,0,0,0.876047,0,0,0,586446
Components-Shortcut-22000M,latetpl2d1,0.4815,0.9495168605797673,0.03866908473644219,0.22061899465732854,0,0.9856346266626678,0.0788185610049454 ,0.1983910433422291,1.6679584072306142,74.29,118.3,114.8,95.8247,40.87195,32.69995,0,0,0,0,0,0.880197,0,0,0,4745566
Components-Shortcut-22000M,latetpl2d2,0.4781,0.9428120686255177,0.04443773585970742,0.17608107572029025,0,0.9897670678177006,0.05172273852996846 ,0.2009343478367007,2.0067767695917653,74.53,119.4,116.4,95.833915,40.62669,32.4057,0,0,0,0,0,0.935972,0,0,0,7612834
Components-Shortcut-22000M,latetpl2d3,0.4776,0.9418260698087163,0.043891118180083004,0.15792148827437985,0,0.9914529540513318,0.039852492206267 ,0.20254782248765632,2.1372155826431785,74.54,119.3,116.6,95.822405,40.64993,32.36667,0,0,0,0,0,0.956223,0,0,0,8682270
Components-Shortcut-22000M,latetpl2d4,0.4779,0.9424176690987971,0.04242661087277603,0.14956797977011269,0,0.9921229059015654,0.03374304246016542 ,0.2025448250485047,2.176593525793504,74.54,119.1,116.3,95.820605,40.712195,32.42121,0,0,0,0,0,0.966754,0,0,0,8978399
Components-Shortcut-22000M,latetpl2d5,0.4784,0.9434036679155985,0.04144262848778948,0.1456053679571151,0,0.9924170935820494,0.03002027506714916 ,0.20245877422457706,2.177705606107912,74.46,118.8,115.9,95.80846,40.75403,32.460865,0,0,0,0,0,0.973173,0,0,0,8959237
Components-Shortcut-22000M,latetpl3d1,0.4812,0.9489252612896865,0.037740258051056304,0.21895236522935632,0,0.9882055099373972,0.07838116706634936 ,0.19754419788902863,1.670050276973983,74.42,118.4,114.8,95.82486,40.91144,32.77721,0,0,0,0,0,0.880173,0,0,0,4742817
Components-Shortcut-22000M,latetpl3d2,0.478,0.9426148688621573,0.04334261885612253,0.17479425711770263,0,0.9917983345467235,0.05140169575706804 ,0.2012788650082285,2.004502074488459,74.57,119.3,116.4,95.83711,40.67325,32.439995,0,0,0,0,0,0.935852,0,0,0,7606703
Components-Shortcut-22000M,latetpl3d3,0.4775,0.9416288700453559,0.042953236081329844,0.15684687627320332,0,0.9930586012121141,0.039554762821198984 ,0.20222985282243008,2.1344955726006587,74.61,119.3,116.5,95.823075,40.689805,32.420585,0,0,0,0,0,0.956157,0,0,0,8664170
Components-Shortcut-22000M,latetpl3d4,0.4777,0.9420232695720765,0.04102172817036784,0.14813162205884908,0,0.9935244127833446,0.0334656181276501 ,0.20276128751224212,2.176196492199344,74.6,119,116.3,95.812275,40.771925,32.46771,0,0,0,0,0,0.966716,0,0,0,8977948
Components-Shortcut-22000M,latetpl3d5,0.4782,0.943009268388878,0.04004280270453445,0.14422734716199834,0,0.9938163070342021,0.02978868381934516 ,0.2027254887700949,2.1775615667618347,74.54,118.8,116,95.80905,40.813545,32.50483,0,0,0,0,0,0.973156,0,0,0,8963314
MIS-21250M,latetpl2d1,0.8418,1.0015466983938133,0.007817879997536574,0.5972245726857336,0,0.9920657410031171,0.000749559545451334 ,0.0,0.9962768444784946,36.63,115.7,90.68,58.101505,7.088665,7.088455,0,0,0,0,0,0.637916,0,0,0,5909
