Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,L2C_UsefulPF,LLC_DemandHit,DRAM_Traffic,L1D_average_miss_latency,L2C_average_miss_latency,LLC_average_miss_latency,L1-MPKI,L2-MPKI,MPKI,PCM_useful_prefetches,PCM_late_prefetches,PCM_accuracy,PCM_laterate,MT_lookups,MT_hitrate,MT_accuracy,MT_accuratepf,MT_acc_find_rate,CT_hitrate,CT_accuracy,CT_useful_prefetches,Unmod_PC,Insert_PC,Init_L3Hit_rate,Init_UPF_rate,Init_NormUPF_rate,L2C_PF_Issue,L2C_PF_Fill
arizona-1,baseline.6way,1.882,0.9947145877378435,0.0015802114430652511,0.8505998358939535,0,0.5164281378117438,0.12237060157680159 ,0.1833177682120864,1.0375081070794707,94.94,132.3,82.51,4.67916,4.44806,3.376915,0,0,0,0,987857,0.600195,0.715193,424043,0.4292554489161893,0,0,0,0,0,0,0,0,507483,141372
arizona-1,baseline.7way,1.878,0.992600422832981,0.00218962537316783,0.8528254587235821,0,0.5073895647913775,0.12172785381687538 ,0.1649378080262849,1.0552594071249093,96.76,135.3,83.06,4.67524,4.445345,3.425765,0,0,0,0,988172,0.602484,0.715852,426188,0.4312892897187939,0,0,0,0,0,0,0,0,510483,143605
arizona-1,baseline.8way,1.872,0.9894291754756872,0.0027721038809454335,0.853875233715011,0,0.49940862449253587,0.12179159861704988 ,0.1429397790236147,1.0762931519936618,98.89,138.8,84.04,4.678215,4.44275,3.48429,0,0,0,0,990177,0.604395,0.713173,426804,0.4310380871298768,0,0,0,0,0,0,0,0,513106,146546
charlie-0,no,1.463,0.9993169398907105,-0.02043235937614998,0,0,0,0.0 ,0.1642479331496133,0.9843111856509698,90.43,118.4,63.62,4.38697,3.81282,3.58045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
charlie-0,baseline.1way,1.471,1.0047814207650274,-0.000967489411811935,0.7160264161473351,0,0.9386853728241101,0.05062102881321499 ,0.1485026460842664,0.989160169937989,89.29,119.1,63.46,4.38619,3.74009,3.5362,0,0,0,0,1671884,0.244207,0.649894,265342,0.15870837928947223,0,0,0,0,0,0,0,0,285494,21502
charlie-0,baseline.2way,1.47,1.0040983606557377,0.0017503127948132933,0.7093136459516469,0,0.9372069083838499,0.05628114471754682 ,0.13682175456389453,0.9923634236994863,89.26,119.6,63.5,4.38599,3.729935,3.54172,0,0,0,0,1671908,0.247884,0.648042,268574,0.16063922177536086,0,0,0,0,0,0,0,0,291181,24652
charlie-0,baseline.3way,1.467,1.0020491803278688,0.002360513585665634,0.706024287013963,0,0.934226007059219,0.05703038428389674 ,0.12285666656082304,0.9956887176835074,89.38,120.1,63.59,4.38457,3.727655,3.557975,0,0,0,0,1671854,0.248599,0.647702,269199,0.1610182468086328,0,0,0,0,0,0,0,0,292388,25281
charlie-0,baseline.4way,1.464,1.0,0.0,0.704406243825331,0,0.9310518934081347,0.0567757297097582 ,0.1109659853208113,1.0,89.59,120.6,63.73,4.38533,3.736475,3.581715,0,0,0,0,1671904,0.248582,0.64738,269055,0.1609273020460505,0,0,0,0,0,0,0,0,292308,25305
charlie-0,baseline.5way,1.461,0.9979508196721312,0.0010196776373453589,0.7060490377425321,0,0.9321627647714604,0.057070605379099935 ,0.09336125041064226,1.003322273186434,89.78,121.4,63.88,4.38331,3.732665,3.599915,0,0,0,0,1671783,0.249093,0.646855,269369,0.16112677303214593,0,0,0,0,0,0,0,0,293023,25409
charlie-0,baseline.6way,1.458,0.9959016393442623,0.0004710321894298771,0.705178184682024,0,0.9260665624301988,0.056603966783055674 ,0.07772602101087682,1.007567702115525,90.1,122.2,64.09,4.38417,3.734715,3.62252,0,0,0,0,1671748,0.249103,0.646528,269239,0.16105238349320591,0,0,0,0,0,0,0,0,292983,25395
charlie-0,baseline.7way,1.455,0.9938524590163935,0.0009246683036819463,0.7064961556566766,0,0.9244308717379234,0.05690117739537586 ,0.06276256556722073,1.010311190484246,90.32,122.8,64.26,4.383035,3.73302,3.63915,0,0,0,0,1671693,0.248845,0.647212,269235,0.1610552894580524,0,0,0,0,0,0,0,0,292595,25492
charlie-0,baseline.8way,1.453,0.9924863387978142,-8.028957774372905e-05,0.706445036851184,0,0.9239178690344062,0.05691440448232129 ,0.05292959424853313,1.013069782840903,90.44,123.2,64.36,4.384275,3.736775,3.654795,0,0,0,0,1671962,0.248711,0.647861,269404,0.16113045631419853,0,0,0,0,0,0,0,0,292527,25508
charlie-1,no,1.383,1.0007235890014472,-0.010923487581552531,0,0,0,0.0 ,0.1493433810353715,0.9892126383177261,85.57,120.8,62.02,8.005535,5.580515,5.26021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
charlie-1,baseline.1way,1.387,1.003617945007236,-0.00174540303230943,0.5919648810846855,0,0.9009668637942364,0.02008920629006905 ,0.14102958765019658,0.992815922163835,85.04,121.2,61.89,7.99956,5.52985,5.22998,0,0,0,0,2890465,0.232504,0.664825,446793,0.15457478295014815,0,0,0,0,0,0,0,0,477769,17996
charlie-1,baseline.2way,1.386,1.0028943560057888,-0.0011774903694874203,0.5552204706419922,0,0.9002551230351411,0.02206965286548386 ,0.1371519571289544,0.9953781301279427,85.15,121.5,61.95,7.998685,5.526715,5.234885,0,0,0,0,2890642,0.240251,0.650521,451773,0.1562881186947398,0,0,0,0,0,0,0,0,495658,21885
charlie-1,baseline.3way,1.384,1.0014471780028944,-0.000701965412579039,0.5210251003608937,0,0.9092536384154409,0.023312846709502334 ,0.13266579427613945,0.9972464238062078,85.09,121.7,61.94,8.000125,5.52409,5.24224,0,0,0,0,2890733,0.24221,0.646683,452785,0.15663328297701656,0,0,0,0,0,0,0,0,501140,24661
charlie-1,baseline.4way,1.382,1.0,0.0,0.5063857897827363,0,0.9075953036671981,0.02479772517554247 ,0.12690568975003233,1.0,85.24,122.1,62.02,7.998315,5.520215,5.25125,0,0,0,0,2890568,0.243563,0.644752,453928,0.15703764796399877,0,0,0,0,0,0,0,0,505006,27248
charlie-1,baseline.5way,1.38,0.9985528219971056,0.0007979761657833979,0.4923807847967623,0,0.91272961189336,0.025132105920903734 ,0.11775729451401691,1.0023880138063181,85.39,122.6,62.13,7.997385,5.51581,5.265095,0,0,0,0,2890506,0.244681,0.642773,454602,0.15727419351490707,0,0,0,0,0,0,0,0,508115,28415
charlie-1,baseline.6way,1.377,0.9963820549927642,-0.00013948732069312517,0.493500718341657,0,0.9026824703680599,0.025595367951839906 ,0.10814423289092241,1.0056142858836898,85.52,123,62.2,7.997945,5.520985,5.28898,0,0,0,0,2890486,0.244885,0.641975,454414,0.15721024076919937,0,0,0,0,0,0,0,0,508803,29234
charlie-1,baseline.7way,1.374,0.9942112879884227,3.532471108462261e-05,0.4932920185235631,0,0.9003244287982329,0.025619872047959426 ,0.09410522093043922,1.0090470557302722,85.67,123.7,62.34,7.99523,5.52002,5.31457,0,0,0,0,2890428,0.245042,0.642198,454853,0.15736527600756706,0,0,0,0,0,0,0,0,509097,29368
charlie-1,baseline.8way,1.37,0.991316931982634,0.00018568117364993936,0.4935823035433877,0,0.9003388892731171,0.025535504119262455 ,0.08112535684896019,1.0122168987142754,85.9,124.4,62.5,7.99823,5.51919,5.342245,0,0,0,0,2890557,0.245247,0.641805,454976,0.15740080545029903,0,0,0,0,0,0,0,0,509800,29294
charlie-2,no,0.859,0.9812657071053233,-0.05353072091568569,0,0,0,0.0 ,0.05777771824725778,0.986647851947705,88.16,122.1,70.5,11.656955,8.572885,8.293005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
charlie-2,baseline.1way,0.8692,0.9929175234178661,-0.0247717606230084,0.8227463725297092,0,0.9358802992518703,0.08464908640121838 ,0.05410631673754607,0.9911838528774551,86.37,122.4,70.1,11.633555,8.338865,8.074945,0,0,0,0,3488043,0.216119,0.694665,523660,0.15013002993369062,0,0,0,0,0,0,0,0,554182,60924
charlie-2,baseline.2way,0.8722,0.9963445282156729,-0.01576876331063536,0.7975590183373058,0,0.9370466593581522,0.10517417782370005 ,0.05122953780359181,0.9943518259933379,85.9,122.6,70.03,11.62758,8.265605,8.0128,0,0,0,0,3488134,0.230506,0.68533,551031,0.15797300218397572,0,0,0,0,0,0,0,0,593273,83491
charlie-2,baseline.3way,0.8739,0.9982864976010967,-0.00811756739651653,0.7951766707553516,0,0.9378001144477894,0.12158483165276407 ,0.044372559191144086,0.9974168790116432,85.65,123.1,69.99,11.62408,8.203345,7.979295,0,0,0,0,3487912,0.238485,0.681521,566899,0.16253248361770595,0,0,0,0,0,0,0,0,620028,101092
charlie-2,baseline.4way,0.8754,1.0,0.0,0.8051243688049373,0,0.9382958504909724,0.13724605942294446 ,0.03607506841265217,1.0,85.46,123.7,70.02,11.62602,8.13729,7.9445,0,0,0,0,3488163,0.246413,0.678805,583452,0.16726626593998045,0,0,0,0,0,0,0,0,647494,117634
charlie-2,baseline.5way,0.8765,1.0012565684258625,0.005119026113116283,0.8101067315794401,0,0.9346257933412306,0.1457585165359203 ,0.030906998181570902,1.0026319791245664,85.27,123.9,69.92,11.62862,8.095635,7.92116,0,0,0,0,3488271,0.251659,0.676062,593484,0.17013701057056632,0,0,0,0,0,0,0,0,665793,128172
charlie-2,baseline.6way,0.8759,1.0005711674663011,0.006814307957563268,0.8095884758224856,0,0.9327377532296629,0.14915388867400817 ,0.028160947152549316,1.0051416683579097,85.33,124.3,69.98,11.623975,8.08184,7.917715,0,0,0,0,3488027,0.254314,0.673971,597848,0.1714000493688839,0,0,0,0,0,0,0,0,674793,133285
charlie-2,baseline.7way,0.8752,0.9997715330134795,0.007625388796515794,0.805390760374754,0,0.9288364587796629,0.14951141164541062 ,0.02591421492525964,1.0074596833645852,85.43,124.6,70.04,11.6232,8.07524,7.918105,0,0,0,0,3487863,0.256177,0.672192,600612,0.17220057095132463,0,0,0,0,0,0,0,0,681453,136196
charlie-2,baseline.8way,0.8742,0.9986291980808774,0.008698841997765841,0.8033511109819366,0,0.9270635480544853,0.14971560782801505 ,0.024384386368632455,1.0094533266030528,85.54,124.8,70.07,11.62526,8.066505,7.913905,0,0,0,0,3488030,0.25709,0.670405,601178,0.17235459557400595,0,0,0,0,0,0,0,0,684618,137626
charlie-3,no,0.7891,0.9411975190839694,-0.18710615128597746,0,0,0,0.0 ,0.08253226581678241,0.981184064015702,53.81,121.1,78.13,27.982465,8.3962,7.85989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
charlie-3,baseline.1way,0.8201,0.9781727099236641,-0.07157813774684249,0.9608189151894704,0,0.7581624433243573,0.052716142200150876 ,0.08581698235911016,0.9873894270562321,49.61,120.5,76.38,27.988885,7.57909,6.85535,0,0,0,0,6764377,0.680719,0.902833,4157222,0.6145757399388,0,0,0,0,0,0,0,0,3124413,226104
charlie-3,baseline.2way,0.8347,0.9955868320610687,-0.021774169603963337,0.9581311200665639,0,0.7277683176700733,0.07235481919437316 ,0.08582043222260706,0.991440959912,47.77,120.2,75.52,27.98089,7.226835,6.36899,0,0,0,0,6764532,0.700042,0.901677,4269848,0.6312111466099946,0,0,0,0,0,0,0,0,3254683,337721
charlie-3,baseline.3way,0.8379,0.9994036259541984,-0.006763912040866245,0.9523821099343938,0,0.7294056589593573,0.07800136717340235 ,0.08047340204887579,0.9960354156949548,47.36,120.7,75.42,27.979405,7.12067,6.26471,0,0,0,0,6764574,0.70636,0.900061,4300696,0.6357674555707425,0,0,0,0,0,0,0,0,3297314,370239
charlie-3,baseline.4way,0.8384,1.0,0.0,0.9487188115582638,0,0.7303320509672314,0.0805740487831896 ,0.0747675705273725,1.0,47.18,121.1,75.37,27.981725,7.07283,6.230095,0,0,0,0,6764630,0.710004,0.898546,4315640,0.6379713302870963,0,0,0,0,0,0,0,0,3322087,386321
charlie-3,baseline.5way,0.8378,0.9992843511450381,0.0048495439590658905,0.9460787414324858,0,0.7313969689595139,0.08198973164740327 ,0.06870842715718062,1.003194179704456,47.14,121.6,75.41,27.98105,7.03853,6.21878,0,0,0,0,6764465,0.712032,0.897772,4324135,0.6392427191211721,0,0,0,0,0,0,0,0,3335686,395243
charlie-3,baseline.6way,0.8366,0.9978530534351144,0.007673731731145808,0.9437384855212811,0,0.7335094920201696,0.08325157987743709 ,0.06322837545778637,1.008181252005209,47.14,122,75.42,27.98213,7.018555,6.22124,0,0,0,0,6764537,0.713325,0.897353,4330009,0.640104267298708,0,0,0,0,0,0,0,0,3344405,402211
charlie-3,baseline.7way,0.8354,0.9964217557251909,0.00923746223223236,0.9422682549436231,0,0.7343311726576311,0.08368554749466567 ,0.05727584380835586,1.0109905664192564,47.16,122.5,75.49,27.97983,7.007495,6.23598,0,0,0,0,6764572,0.714212,0.896884,4333151,0.640565434147201,0,0,0,0,0,0,0,0,3350471,405219
charlie-3,baseline.8way,0.834,0.9947519083969465,0.011081137253404932,0.9413638447976106,0,0.7380350151475289,0.08446822212019486 ,0.05089260156528174,1.014662289132914,47.23,123.2,75.62,27.97959,6.994455,6.255925,0,0,0,0,6764753,0.714741,0.896673,4335454,0.6408887360706297,0,0,0,0,0,0,0,0,3354220,407803
charlie-4,no,0.9895,0.9806739345887018,-0.06920162163952108,0,0,0,0.0 ,0.07544201769906506,0.983303177475161,78.93,121.4,77.02,8.132485,5.65049,5.36246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
charlie-4,baseline.1way,1,0.9910802775024778,-0.028674825323689278,0.8171943102341453,0,0.9215264713786616,0.0771472628877309 ,0.07138906769903079,0.9899105328112089,76.8,121.9,76.68,8.12221,5.436315,5.15987,0,0,0,0,3486501,0.220663,0.659698,507534,0.14557116145958368,0,0,0,0,0,0,0,0,577817,59194
charlie-4,baseline.2way,1.006,0.9970267591674927,-0.010961677649474198,0.8054464762878454,0,0.9239845372720978,0.10354615431865279 ,0.06981952496727137,0.9943665778824335,75.79,122,76.45,8.119145,5.342705,5.071685,0,0,0,0,3486635,0.232796,0.655755,532261,0.15265750501558092,0,0,0,0,0,0,0,0,618642,86074
charlie-4,baseline.3way,1.007,0.998017839444995,-0.004550808691003875,0.7990010688152593,0,0.9237902914619401,0.11309966237496535 ,0.06786412666372295,0.9976904556468408,75.49,122.3,76.42,8.11608,5.308825,5.04372,0,0,0,0,3486514,0.237457,0.654474,541837,0.15540938599414775,0,0,0,0,0,0,0,0,635024,97304
